Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,price_category
7,Stream 14-AX040wm,3,-0.713439498130007,1366x768,36,-0.8621763211399812,32GB SSD,41,5,-0.9000547520057193,0
10,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),3,0.4087716575222072,Full HD 1920x1080,74,-0.8621763211399812,1TB HDD,53,5,-0.20855335194523364,0
2,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,1,1.6011210104026858,Full HD 1920x1080,102,0.7117861957712558,1TB HDD,76,2,1.4450369525472322,1
13,Surface Laptop,4,-1.064130484271324,Touchscreen 2256x1504,74,-0.8621763211399812,128GB SSD,53,6,-1.1826683676826133,1
4,Inspiron 5370,4,-1.2044068787278503,IPS Panel Full HD 1920x1080,106,-0.07519506268436271,256GB SSD,7,5,-0.960185308532718,1
4,Inspiron 5570,3,0.4087716575222072,Full HD 1920x1080,106,-0.07519506268436271,256GB SSD,7,5,0.24242582200725737,1
11,GL72M 7RDX,1,1.6011210104026858,Full HD 1920x1080,77,-0.07519506268436271,128GB SSD +  1TB HDD,75,5,0.9940577785947418,1
0,Aspire E5-475,3,-0.713439498130007,1366x768,56,-0.07519506268436271,1TB HDD,47,5,0.09209943068976037,0
2,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,1,0.4087716575222072,Full HD 1920x1080,102,-0.07519506268436271,1TB HDD,75,5,0.24242582200725737,1
10,IdeaPad 320-15IKBN,3,0.4087716575222072,Full HD 1920x1080,74,-0.07519506268436271,2TB HDD,53,4,0.24242582200725737,0
4,Inspiron 5570,3,0.4087716575222072,Full HD 1920x1080,106,-0.07519506268436271,128GB SSD +  1TB HDD,61,5,-0.02816168236423723,1
0,Aspire A515-51G-32MX,3,0.4087716575222072,Full HD 1920x1080,60,-0.8621763211399812,1TB HDD,97,5,0.24242582200725737,0
7,ProBook 470,3,1.6011210104026858,Full HD 1920x1080,83,-0.07519506268436271,128GB SSD +  1TB HDD,69,5,0.6934049959597477,1
4,Latitude 5590,4,0.4087716575222072,IPS Panel Full HD 1920x1080,83,-0.07519506268436271,256GB SSD,61,5,-0.23861863020873306,1
1,"MacBook 12""",4,-2.116203442695275,IPS Panel Retina Display 2304x1440,61,-0.07519506268436271,512GB SSD,52,8,-1.681751986856703,2
7,ProBook 440,3,-0.713439498130007,Full HD 1920x1080,83,-0.07519506268436271,256GB SSD,53,5,-0.6144346085024752,1
